OpenFork Discoveries — 2026-08-12
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

1. https://github.com/americanexpress/babel-preset-amex | ✨ Standard babel preset for American Express | JavaScript | 20 stars | Apache-2.0
186. https://github.com/akamai/cli-edgeworkers | Akamai CLI for EdgeWorkers, allows you to interact with EdgeWorkers APIs via a command line interface | TypeScript | 20 stars | Apache-2.0
187. https://github.com/adsorgcn/AdsPilot | Google Ads optimization and monetization automation platform. | TypeScript | 20 stars | MIT
188. https://github.com/IRISX-AI/IRIS-Mini | IRIS Mini ⚡ — The agentic CLI heartbeat. Scaffolds code 🏗️, commands the local filesystem 📂, and automates your developer workflow directly from the terminal 🚀. Pure execution, zero friction, local-first intelligence 🧠💻. | TypeScript | 20 stars | NOASSERTION
189. https://github.com/DisruptorProxy/Core | Fast, open-source Xray-core GUI client for Windows, Linux, macOS, and Android. VLESS, VMess, Trojan, Shadowsocks, Hysteria2, TUIC and REALITY - with subscriptions, bulk latency testing, and custom routing rules. | TypeScript | 20 stars | MIT
190. https://github.com/benoitpetit/signal-sdk | A comprehensive TypeScript SDK for interacting with signal messenger, providing JSON-RPC communication and a powerful bot framework. | TypeScript | 20 stars | MIT
191. https://github.com/workos/oagen-emitters | WorkOS' oagen emitters | TypeScript | 20 stars | MIT
192. https://github.com/evangauer/openvpm | Free, open-source, API-first veterinary practice management system (PIMS) — self-hostable, with a built-in AI agent and a real REST API. | TypeScript | 20 stars | AGPL-3.0
193. https://github.com/recombyn/recombyn | Source-available visual design editor + AI Design Agent. Self-host with Docker Compose. | TypeScript | 20 stars | Apache-2.0
194. https://github.com/jentic/jentic-arazzo-tools | Jentic Arazzo Tools | TypeScript | 20 stars | Apache-2.0
195. https://github.com/Dyse-Sofqi/MDRazor |  | TypeScript | 20 stars | 0BSD
196. https://github.com/sajidnagari/beats | Modern landing page application built with Next.js. | TypeScript | 20 stars | MIT
197. https://github.com/alexcarpenter/resilient-ui | Resources for building resilient user interfaces. | TypeScript | 20 stars | MIT
198. https://github.com/foxundermoon/feishu-action | feishu custom bot action | TypeScript | 20 stars | MIT
199. https://github.com/sxzz/tsdown-templates | Collection of tsdown templates | TypeScript | 20 stars | MIT
200. https://github.com/raslan/throwaway | An identity generator for testers and privacy enthusiasts. https://throwaway.raslan.dev | TypeScript | 20 stars | MIT
201. https://github.com/ThreeHats/foundryvtt-rest-api | A Foundry VTT module that provides a general purpose REST API through a WebSocket relay | TypeScript | 20 stars | MIT
202. https://github.com/hazuki-keatsu/xuexitong-ppt-downloader | 超星学习通 PPT 下载工具。 | TypeScript | 20 stars | MIT
203. https://github.com/eraycoskunai/Termspire |  A command tower for your terminals and AI coding agents — run Claude Code, Codex, and any shell in a resizable grid with Mission Control, session replay, git-aware diffs, and crash-loop protection. | TypeScript | 20 stars | MIT
204. https://github.com/arikusi/nakkas | MCP server that turns AI into an SVG artist | TypeScript | 20 stars | MIT
205. https://github.com/arjunrajlaboratory/NimbusImage | UPenn ? | TypeScript | 20 stars | Apache-2.0
206. https://github.com/zimonitrome/convolution-shape-calculator | Visualization and calculator for input & output for deep neural networks. | TypeScript | 20 stars | MIT
207. https://github.com/DevCycleHQ/cli | DevCycle - CLI | TypeScript | 20 stars | MIT
208. https://github.com/CodeForPhilly/balancer-main | Code For Philly Balancer Project (https://codeforphilly.org/projects/balancer) | TypeScript | 20 stars | AGPL-3.0
209. https://github.com/filecoin-project/filsnap | ⨎  Metamask Filecoin Wallet | TypeScript | 20 stars | Apache-2.0
210. https://github.com/wyre-technology/ninjaone-mcp | MCP server for NinjaOne — device monitoring, patching, scripting, and alert management tools for AI assistants | TypeScript | 20 stars | Apache-2.0
211. https://github.com/Gabriel-Pereira1788/DayOne | DayOne is a mobile application designed to help users build and maintain daily habits through a streak-based tracking system. The app focuses on simplicity and motivation, making it easy for users to track their progress and maintain consistency in their daily routines. | TypeScript | 20 stars | MIT
212. https://github.com/nestjs/enterprise.nestjs.com | The official website https://enterprise.nestjs.com 🌁 | TypeScript | 20 stars | MIT
213. https://github.com/habasefa/react-native-ajora | The most complete AI agent UI for React Native | TypeScript | 20 stars | MIT
214. https://github.com/jmjuanes/folio | 📜 A minimal whiteboard for sketching, annotating and prototyping | TypeScript | 20 stars | MIT
215. https://github.com/node-red-contrib/node-red-contrib-renault-ze | node-red extension to fetch the status from your renault connected car | TypeScript | 20 stars | Apache-2.0
216. https://github.com/nandkapadia/streamlit-lightweight-charts-pro | 🚀 Professional financial charting library for Streamlit - Built on TradingView's lightweight-charts with fluent API, trade visualization, and advanced annotations | TypeScript | 20 stars | MIT
217. https://github.com/catppuccin/pantone | 🌈 Soothing pastel colors for Pantone | TypeScript | 20 stars | MIT
218. https://github.com/hypermemory-ai/hypermemory-sdk | SDK for developing apps on top of Hypermemory | TypeScript | 20 stars | MIT
219. https://github.com/erickoledadevrel/packs | Coda Packs I've created. | TypeScript | 20 stars | MIT
220. https://github.com/roboco-io/plugins | Claude Code 플러그인 모음 - Skills, Commands, Agents, Hooks | TypeScript | 20 stars | MIT
221. https://github.com/canbedir/kirmizi | Record your screen entirely in the browser. | TypeScript | 20 stars | MIT
222. https://github.com/salesforcecli/plugin-packaging |  | TypeScript | 20 stars | Apache-2.0
223. https://github.com/dexxiez/shadcn-hsl-preview | shadcn HSL Preview extension for Visual Studio Code | TypeScript | 20 stars | MIT
224. https://github.com/jmoyers/everquest-companion | EverQuest Legends companion — real-time log analysis, DPS meter, quest/boss tracking, alerts. Extensible event-stream architecture. | TypeScript | 20 stars | NOASSERTION
225. https://github.com/AquatikJustice/SuperCargo |  | TypeScript | 20 stars | MIT
226. https://github.com/signalapp/node-sqlcipher | A fast N-API-based Node.js addon wrapping sqlcipher and FTS5 segmenting APIs. | TypeScript | 20 stars | AGPL-3.0
227. https://github.com/wangweiwei/auto-cr | auto-cr: a lightning-fast SWC-powered code review toolkit—CLI + extensible rule SDK—to surface risky JS/TS changes before merge. | TypeScript | 20 stars | MIT
228. https://github.com/stoplightio/http-spec | Utilities to normalize OpenAPI v2 and v3 objects for the Stoplight ecosystem. | TypeScript | 20 stars | Apache-2.0
229. https://github.com/clockor2/clockor2 | Inferring global and local strict molecular clocks using root-to-tip regression | TypeScript | 20 stars | GPL-3.0
230. https://github.com/Ayokanmi-Adejola/Ecommerce-Platform | A comprehensive, dynamically scalable, and globally accessible full-stack e-commerce application, meticulously engineered to provide a seamless and personalized shopping experience, featuring robust user authentication protocols for secure access. | TypeScript | 20 stars | MIT
231. https://github.com/fum4/openkit | The platform for your agents. | TypeScript | 20 stars | MIT
232. https://github.com/ChrisRomp/copilot-bridge | Bridge GitHub Copilot CLI to messaging platforms (Mattermost, Slack, etc.) | TypeScript | 20 stars | MIT
233. https://github.com/Jeba-Jebarsan/insideai | Watch a real AI model think - live 3D visualization of a transformer's actual forward pass: tokens, embeddings, attention, neurons, sampling | TypeScript | 20 stars | MIT
234. https://github.com/MoonBottle/siyuan-plugin-bullet-journal |  | TypeScript | 20 stars | AGPL-3.0
235. https://github.com/embeddable-hq/remarkable-ui | Remarkable UI is an open-source library of beautiful analytics components – charts, dropdowns, tables, and more. | TypeScript | 20 stars | MIT
236. https://github.com/Walrus-Computing/piper-draw | Interactively draw pipe diagrams for lattice surgery. | TypeScript | 20 stars | Apache-2.0
237. https://github.com/ceilaolabs/obsidian-s3-sync-and-backup | Vault synchronization and scheduled backups across devices using S3-compatible storage (AWS S3, Cloudflare R2, RustFS, etc.) with optional end-to-end encryption. | TypeScript | 20 stars | MIT
238. https://github.com/pkyanam/trifecta | Trifecta is a cross-platform coding agent platform. It consists of a desktop server that runs AI coding agents, plus native mobile clients for iOS and Android that let you chat with your agent, review changes, and manage your development workflow from anywhere. | TypeScript | 20 stars | Apache-2.0
239. https://github.com/extend-hq/react-docx |  | TypeScript | 20 stars | MIT
240. https://github.com/posva/clipboard-text | Simple and small copy-text-to-the-clipboard-utility with IE11 support | TypeScript | 20 stars | NOASSERTION
241. https://github.com/Railgun-Community/engine | JavaScript library to interact with RAILGUN smart contracts | TypeScript | 20 stars | MIT
242. https://github.com/HarryDulaney/pfolie | Open-source investment portfolio manager with beautiful analytics dashboards, charting, and asset tracking. | TypeScript | 20 stars | NOASSERTION
243. https://github.com/Lexington-Themes/lexington-seo |  | TypeScript | 20 stars | MIT
244. https://github.com/Alexi5000/ClawKeeper | Governed Claude agent control plane: deterministic policy engine runs before every LLM call, $0 default autonomous spend, database-enforced immutable audit log. 147 passing tests. MIT. | TypeScript | 20 stars | MIT
245. https://github.com/freifunk/meshviewer | Visualization for Freifunk open mesh network nodes | TypeScript | 20 stars | AGPL-3.0
246. https://github.com/beautifulrem/pi-sakura-cyberdeck | Sakura Macaron theme, cyberdeck header, animated Matrix rain, and polished Zentui for Pi | TypeScript | 20 stars | MIT
247. https://github.com/mblode/diffhub | Local git diff viewer | TypeScript | 20 stars | MIT
248. https://github.com/corona-school/backend | The backend of Lern-Fair – where the magic happens... ✨ | TypeScript | 20 stars | MIT
249. https://github.com/adrielp/ai-engineering-harness | Provides a harness for various different AI agent for harness context engineering | TypeScript | 20 stars | Apache-2.0
250. https://github.com/rciam/keycloak-group-management | A Keycloak extension for advanced group management  | TypeScript | 20 stars | Apache-2.0
251. https://github.com/brilliantnz/flickernaut | Flickernaut is a GNOME extension that adds custom entry to Nautilus context menu for your installed dev tools, IDEs, and custom apps. | TypeScript | 20 stars | GPL-3.0
252. https://github.com/joeyism/opencode-multiplexer-ts | an OpenCode MultiPlexer, to allow seamless switching between parallel running session, both existing and new | TypeScript | 20 stars | Apache-2.0
253. https://github.com/javadSharifi/persian-number-input | React Persian Number Input Component | TypeScript | 20 stars | MIT
254. https://github.com/JaydenCJ/grok-build-desktop | Grok Build Desktop — a native desktop client for the official Grok Build CLI. Claude-Desktop-style coding UI: non-blocking streaming, conversations, MCP + Skills hub, prompt library. Tauri 2 + React 19 + Rust. | TypeScript | 20 stars | NOASSERTION
255. https://github.com/DUBSOpenHub/dark-factory | 🏭 Agentic dark factory for AI building with sealed-envelope testing | TypeScript | 20 stars | MIT
256. https://github.com/opencanvasai/OpenCanvas | Open-source alternative to Higgsfield, weavy & Comfy UI | TypeScript | 20 stars | MIT
257. https://github.com/RonkTsang/gemini-chat-extension | Transform your Gemini experience with powerful tools designed to boost your productivity | TypeScript | 20 stars | MIT
258. https://github.com/kinde-oss/kinde-react-native-sdk-0-7x |  Kinde React Native SDK for authentication for 0.7x | TypeScript | 20 stars | MIT
259. https://github.com/linxule/openinterviewer | Open-source AI-powered qualitative research platform. Conduct deep interviews at scale with AI interviewers (Gemini/Claude) that adapt to responses. Features study management, real-time synthesis, aggregate analysis, and one-click Vercel deployment. | TypeScript | 20 stars | MIT
260. https://github.com/ThierryRakotomanana/GitCharta | Visualize your GitHub footprint in 2D and 3D. Transform raw counts (stars, forks, PRs) into an interactive global map to see exactly how far your work travels. | TypeScript | 20 stars | MIT
261. https://github.com/plone/nick | Nearly Headless CMS | TypeScript | 20 stars | MIT
262. https://github.com/BalajSaleem/criterion | Quran based intelligence | TypeScript | 20 stars | NOASSERTION
263. https://github.com/ctrf-io/cypress-ctrf-json-reporter | A Cypress JSON test results reporter that follows the CTRF schema | TypeScript | 20 stars | MIT
264. https://github.com/Parthakashyap/AniMovie | AniMovie is an open-source movie, anime, and manga streaming platform that integrates TMDB, AniList, and VidSrc APIs to deliver ad-free HD streaming, full metadata, and a unified discovery experience for films, shows, and series. | TypeScript | 20 stars | MIT
265. https://github.com/tavily-ai/tavily-n8n-node | A node for n8n that integrates the Tavily API, enabling powerful web search and content extraction within your no-code automation workflows. | TypeScript | 20 stars | MIT
266. https://github.com/gapmiss/iconoir-icons | A plugin for creating customized icons in Obsidian.md | TypeScript | 20 stars | MIT
267. https://github.com/stefanhoelzl/codehydra | Multi-Workspace IDE for Parallel AI Agent Development | TypeScript | 20 stars | MIT
268. https://github.com/mullionlabs/mullion-ts | Type-safe LLM context management for TypeScript | TypeScript | 20 stars | MIT
269. https://github.com/fivestones/family-organizer | An organizer for our family, meant to be both an app and a dashboard | TypeScript | 20 stars | MIT
270. https://github.com/takashito/linode-mcp-server | A Model Context Protocol (MCP) server that enables AI assistants like Claude to interact with your Linode Cloud Platform environment. | TypeScript | 20 stars | MIT
271. https://github.com/vikejs/vike-photon | 🔨 Vike ❤️ Photon | TypeScript | 20 stars | MIT
272. https://github.com/preligens-lab/textnoisr | Adding random noise to a text dataset, and controlling very accurately the quality of the result  | Python | 20 stars | BSD-2-Clause
273. https://github.com/ciena/ciena.saos10 | Ansible Collection for SAOS 10 devices | Python | 20 stars | Apache-2.0
274. https://github.com/djsawicko/LV1-SG-Revive | Utility to add Local devices (SoundGrid Connect) to eMotion LV1 Sessions, for which support was dropped in V15. | Python | 20 stars | MIT
275. https://github.com/cicese-biocom/esm-AxP-GDL |  | Python | 20 stars | MIT
276. https://github.com/uktrade/stream-zip | Python function to construct a ZIP archive on the fly | Python | 20 stars | MIT
277. https://github.com/buckai-observatory/geoai-datacubes | Acquisition, harmonization, and pre-processing of AI-ready multimodal satellite data cubes.  | Python | 20 stars | MIT
278. https://github.com/matbo87/snes9x_3ds-assets | assets for snes9x_3ds emulator | Python | 20 stars | MIT
279. https://github.com/Slyss42/Dracoon | Dracoon est un gestionnaire de fenêtre pour Dofus Rétro.  Il intègre le tri des fenêtres, le bind de raccourcis et un auto-focus. | Python | 20 stars | MIT
280. https://github.com/KyleJamesWalker/pr-changes-matrix-builder | A Github Action that will output a variable to be used in a matrix strategy job based on a PR's changes | Python | 20 stars | MIT
281. https://github.com/HDM-soft/rocketdoo | Odoo Development Framework | Python | 20 stars | NOASSERTION
282. https://github.com/matthiasprobst/h5RDMtoolbox | Supporting a FAIR Research Data lifecycle using Python and HDF5. | Python | 20 stars | MIT
283. https://github.com/robustonian/ai-pixel-art-converter |  | Python | 20 stars | MIT
284. https://github.com/CommonRoad/commonroad-autoware-interface | A planning interface based on CommonRoad which integrates into the Autoware.Universe software stack | Python | 20 stars | BSD-3-Clause
285. https://github.com/zhaoxi120/deepkoala | An ultra-fast and accurate tool for KEGG Orthology (KO) assignment, powered by deep learning. | Python | 20 stars | MIT
286. https://github.com/sharpa-robotics/sharpa-urdf-usd-xml | Assets for sharpa hardware | Python | 20 stars | NOASSERTION
287. https://github.com/nikhilprasanth/Auris | Offline audiobook reader for EPUB, PDF, and TXT with local OmniVoice TTS, character voices, and synced highlighting. | Python | 20 stars | MIT
288. https://github.com/skipperro/pajgps-homeassistant | This integration allows you to use PAJ GPS devices (www.paj-gps.de) in Home Assistant. | Python | 20 stars | MIT
289. https://github.com/frappe/india-payroll | A Frappe HR extenstion app to simplify payroll and taxes according to indian rules and regulations | Python | 20 stars | GPL-3.0
290. https://github.com/lucianmarin/pybench | Python benchmark tool inspired by Geekbench. | Python | 20 stars | NOASSERTION
291. https://github.com/chrisberkhout/pricehist | A command-line tool for fetching and formatting historical price data, with support for multiple data sources and output formats. | Python | 20 stars | MIT
292. https://github.com/mrHuangyz/TaF-VLA |  | Python | 20 stars | MIT
293. https://github.com/BkashJEE/hermes-agent-dock | Native Hermes Desktop dock for direct profile chat, concurrent jobs, cancellation, and explicit Kanban assignment. | Python | 20 stars | MIT
294. https://github.com/kelkalot/simpleaudit | Allows to red-team your AI systems through adversarial probing. It is simple, effective, and requires minimal setup. | Python | 20 stars | MIT
295. https://github.com/WeblateOrg/siphashc | python c-module for siphash | Python | 20 stars | ISC
296. https://github.com/0xideas/sequifier |  | Python | 20 stars | Apache-2.0
297. https://github.com/gcve-eu/gcve | A Python client for the Global CVE Allocation System. | Python | 20 stars | GPL-3.0
298. https://github.com/cytomining/CytoTable | Harmonize high-content image analysis tool outputs for processing with Pycytominer and other Cytomining tools. | Python | 20 stars | BSD-3-Clause
299. https://github.com/Softcatala/arena-cat | Plataforma participativa centrada exclusivament a mesurar la competència en llengua catalana dels models de llenguatge gran (LLMs).  | Python | 20 stars | MIT
300. https://github.com/warlockee/oxRL | A lightweight post-training framework for LLMs and VLMs. 51 algorithms, 38 verified models. Scales with DeepSpeed, vLLM, and Ray.    | Python | 20 stars | Apache-2.0
